id,name,category,brand,price,color,material,description,image_url,combined_text
11,Puma Shoe 11,Shoes,Puma,5602,Black,Metal,"Black shoes made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&w=800&q=80,"Puma Shoe 11 Shoes Puma Black Metal Black shoes made of metal, suitable for everyday use."
12,Campus Shoe 12,Shoes,Campus,6803,White,Mesh,"White shoes made of mesh, suitable for everyday use.",https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?auto=format&fit=crop&w=800&q=80,"Campus Shoe 12 Shoes Campus White Mesh White shoes made of mesh, suitable for everyday use."
13,Adidas Shoe 13,Shoes,Adidas,8335,Red,Metal,"Red shoes made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&w=800&q=80,"Adidas Shoe 13 Shoes Adidas Red Metal Red shoes made of metal, suitable for everyday use."
14,Adidas Shoe 14,Shoes,Adidas,3941,Blue,Metal,"Blue shoes made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1543508282-6319a3e2621f?auto=format&fit=crop&w=800&q=80,"Adidas Shoe 14 Shoes Adidas Blue Metal Blue shoes made of metal, suitable for everyday use."
15,Campus Shoe 15,Shoes,Campus,6375,White,Cotton,"White shoes made of cotton, suitable for everyday use.",https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?auto=format&fit=crop&w=800&q=80,"Campus Shoe 15 Shoes Campus White Cotton White shoes made of cotton, suitable for everyday use."
16,Adidas Shoe 16,Shoes,Adidas,2485,Blue,Mesh,"Blue shoes made of mesh, suitable for everyday use.",https://images.unsplash.com/photo-1543508282-6319a3e2621f?auto=format&fit=crop&w=800&q=80,"Adidas Shoe 16 Shoes Adidas Blue Mesh Blue shoes made of mesh, suitable for everyday use."
17,Adidas Shoe 17,Shoes,Adidas,6938,Green,Mesh,"Green shoes made of mesh, suitable for everyday use.",https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?auto=format&fit=crop&w=800&q=80,"Adidas Shoe 17 Shoes Adidas Green Mesh Green shoes made of mesh, suitable for everyday use."
18,Reebok Shoe 18,Shoes,Reebok,7226,Red,Metal,"Red shoes made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&w=800&q=80,"Reebok Shoe 18 Shoes Reebok Red Metal Red shoes made of metal, suitable for everyday use."
19,Adidas Shoe 19,Shoes,Adidas,9224,Black,Cotton,"Black shoes made of cotton, suitable for everyday use.",https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&w=800&q=80,"Adidas Shoe 19 Shoes Adidas Black Cotton Black shoes made of cotton, suitable for everyday use."
20,Adidas Shoe 20,Shoes,Adidas,6956,Blue,Plastic,"Blue shoes made of plastic, suitable for everyday use.",https://images.unsplash.com/photo-1543508282-6319a3e2621f?auto=format&fit=crop&w=800&q=80,"Adidas Shoe 20 Shoes Adidas Blue Plastic Blue shoes made of plastic, suitable for everyday use."
21,Puma T-Shirt 1,T-Shirts,Puma,9701,Blue,Metal,"Blue t-shirts made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=800&q=80,"Puma T-Shirt 1 T-Shirts Puma Blue Metal Blue t-shirts made of metal, suitable for everyday use."
22,Levi's T-Shirt 2,T-Shirts,Levi's,8530,Black,Metal,"Black t-shirts made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1503341504253-dff4815485f1?auto=format&fit=crop&w=800&q=80,"Levi's T-Shirt 2 T-Shirts Levi's Black Metal Black t-shirts made of metal, suitable for everyday use."
23,Adidas T-Shirt 3,T-Shirts,Adidas,9387,Red,Metal,"Red t-shirts made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1562157873-818bc0726f68?auto=format&fit=crop&w=800&q=80,"Adidas T-Shirt 3 T-Shirts Adidas Red Metal Red t-shirts made of metal, suitable for everyday use."
24,Adidas T-Shirt 4,T-Shirts,Adidas,7310,Black,Polyester,"Black t-shirts made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1503341504253-dff4815485f1?auto=format&fit=crop&w=800&q=80,"Adidas T-Shirt 4 T-Shirts Adidas Black Polyester Black t-shirts made of polyester, suitable for everyday use."
25,Levi's T-Shirt 5,T-Shirts,Levi's,1359,Black,Plastic,"Black t-shirts made of plastic, suitable for everyday use.",https://images.unsplash.com/photo-1503341504253-dff4815485f1?auto=format&fit=crop&w=800&q=80,"Levi's T-Shirt 5 T-Shirts Levi's Black Plastic Black t-shirts made of plastic, suitable for everyday use."
26,Levi's T-Shirt 6,T-Shirts,Levi's,2666,Black,Leather,"Black t-shirts made of leather, suitable for everyday use.",https://images.unsplash.com/photo-1503341504253-dff4815485f1?auto=format&fit=crop&w=800&q=80,"Levi's T-Shirt 6 T-Shirts Levi's Black Leather Black t-shirts made of leather, suitable for everyday use."
27,Levi's T-Shirt 7,T-Shirts,Levi's,2241,White,Polyester,"White t-shirts made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1581655353564-df123a1eb820?auto=format&fit=crop&w=800&q=80,"Levi's T-Shirt 7 T-Shirts Levi's White Polyester White t-shirts made of polyester, suitable for everyday use."
28,Adidas T-Shirt 8,T-Shirts,Adidas,9531,Blue,Cotton,"Blue t-shirts made of cotton, suitable for everyday use.",https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=800&q=80,"Adidas T-Shirt 8 T-Shirts Adidas Blue Cotton Blue t-shirts made of cotton, suitable for everyday use."
29,Adidas T-Shirt 9,T-Shirts,Adidas,2281,White,Polyester,"White t-shirts made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1581655353564-df123a1eb820?auto=format&fit=crop&w=800&q=80,"Adidas T-Shirt 9 T-Shirts Adidas White Polyester White t-shirts made of polyester, suitable for everyday use."
30,H&M T-Shirt 10,T-Shirts,H&M,8623,White,Metal,"White t-shirts made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1581655353564-df123a1eb820?auto=format&fit=crop&w=800&q=80,"H&M T-Shirt 10 T-Shirts H&M White Metal White t-shirts made of metal, suitable for everyday use."
31,Nike T-Shirt 11,T-Shirts,Nike,8037,Red,Metal,"Red t-shirts made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1562157873-818bc0726f68?auto=format&fit=crop&w=800&q=80,"Nike T-Shirt 11 T-Shirts Nike Red Metal Red t-shirts made of metal, suitable for everyday use."
32,Adidas T-Shirt 12,T-Shirts,Adidas,9266,Red,Plastic,"Red t-shirts made of plastic, suitable for everyday use.",https://images.unsplash.com/photo-1562157873-818bc0726f68?auto=format&fit=crop&w=800&q=80,"Adidas T-Shirt 12 T-Shirts Adidas Red Plastic Red t-shirts made of plastic, suitable for everyday use."
33,Adidas T-Shirt 13,T-Shirts,Adidas,1812,Red,Metal,"Red t-shirts made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1562157873-818bc0726f68?auto=format&fit=crop&w=800&q=80,"Adidas T-Shirt 13 T-Shirts Adidas Red Metal Red t-shirts made of metal, suitable for everyday use."
34,Nike T-Shirt 14,T-Shirts,Nike,9379,White,Mesh,"White t-shirts made of mesh, suitable for everyday use.",https://images.unsplash.com/photo-1581655353564-df123a1eb820?auto=format&fit=crop&w=800&q=80,"Nike T-Shirt 14 T-Shirts Nike White Mesh White t-shirts made of mesh, suitable for everyday use."
35,Adidas T-Shirt 15,T-Shirts,Adidas,5497,Grey,Mesh,"Grey t-shirts made of mesh, suitable for everyday use.",https://images.unsplash.com/photo-1576995853123-5a10305d93c0?auto=format&fit=crop&w=800&q=80,"Adidas T-Shirt 15 T-Shirts Adidas Grey Mesh Grey t-shirts made of mesh, suitable for everyday use."
36,Levi's T-Shirt 16,T-Shirts,Levi's,5780,Green,Leather,"Green t-shirts made of leather, suitable for everyday use.",https://images.unsplash.com/photo-1618354691438-25bc04584c23?auto=format&fit=crop&w=800&q=80,"Levi's T-Shirt 16 T-Shirts Levi's Green Leather Green t-shirts made of leather, suitable for everyday use."
37,Levi's T-Shirt 17,T-Shirts,Levi's,9226,Black,Leather,"Black t-shirts made of leather, suitable for everyday use.",https://images.unsplash.com/photo-1503341504253-dff4815485f1?auto=format&fit=crop&w=800&q=80,"Levi's T-Shirt 17 T-Shirts Levi's Black Leather Black t-shirts made of leather, suitable for everyday use."
38,Puma T-Shirt 18,T-Shirts,Puma,6340,White,Plastic,"White t-shirts made of plastic, suitable for everyday use.",https://images.unsplash.com/photo-1581655353564-df123a1eb820?auto=format&fit=crop&w=800&q=80,"Puma T-Shirt 18 T-Shirts Puma White Plastic White t-shirts made of plastic, suitable for everyday use."
39,Nike T-Shirt 19,T-Shirts,Nike,8658,Blue,Polyester,"Blue t-shirts made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=800&q=80,"Nike T-Shirt 19 T-Shirts Nike Blue Polyester Blue t-shirts made of polyester, suitable for everyday use."
40,H&M T-Shirt 20,T-Shirts,H&M,8859,Green,Metal,"Green t-shirts made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1618354691438-25bc04584c23?auto=format&fit=crop&w=800&q=80,"H&M T-Shirt 20 T-Shirts H&M Green Metal Green t-shirts made of metal, suitable for everyday use."
41,Puma Backpack 1,Backpacks,Puma,8858,Black,Leather,"Black backpacks made of leather, suitable for everyday use.",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&w=800&q=80,"Puma Backpack 1 Backpacks Puma Black Leather Black backpacks made of leather, suitable for everyday use."
42,Wildcraft Backpack 2,Backpacks,Wildcraft,1176,Blue,Leather,"Blue backpacks made of leather, suitable for everyday use.",https://images.unsplash.com/photo-1581605405669-fcdf81165afa?auto=format&fit=crop&w=800&q=80,"Wildcraft Backpack 2 Backpacks Wildcraft Blue Leather Blue backpacks made of leather, suitable for everyday use."
43,American Tourister Backpack 3,Backpacks,American Tourister,2734,Green,Mesh,"Green backpacks made of mesh, suitable for everyday use.",https://images.unsplash.com/photo-1622560480605-d83c853bc5c3?auto=format&fit=crop&w=800&q=80,"American Tourister Backpack 3 Backpacks American Tourister Green Mesh Green backpacks made of mesh, suitable for everyday use."
44,Skybags Backpack 4,Backpacks,Skybags,9773,White,Metal,"White backpacks made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1556306535-0f09a537f0a3?auto=format&fit=crop&w=800&q=80,"Skybags Backpack 4 Backpacks Skybags White Metal White backpacks made of metal, suitable for everyday use."
45,Skybags Backpack 5,Backpacks,Skybags,9931,Blue,Cotton,"Blue backpacks made of cotton, suitable for everyday use.",https://images.unsplash.com/photo-1581605405669-fcdf81165afa?auto=format&fit=crop&w=800&q=80,"Skybags Backpack 5 Backpacks Skybags Blue Cotton Blue backpacks made of cotton, suitable for everyday use."
46,Puma Backpack 6,Backpacks,Puma,8120,White,Plastic,"White backpacks made of plastic, suitable for everyday use.",https://images.unsplash.com/photo-1556306535-0f09a537f0a3?auto=format&fit=crop&w=800&q=80,"Puma Backpack 6 Backpacks Puma White Plastic White backpacks made of plastic, suitable for everyday use."
47,American Tourister Backpack 7,Backpacks,American Tourister,6571,Grey,Polyester,"Grey backpacks made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1581605405669-fcdf81165afa?auto=format&fit=crop&w=800&q=80,"American Tourister Backpack 7 Backpacks American Tourister Grey Polyester Grey backpacks made of polyester, suitable for everyday use."
48,American Tourister Backpack 8,Backpacks,American Tourister,5761,Green,Polyester,"Green backpacks made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1622560480605-d83c853bc5c3?auto=format&fit=crop&w=800&q=80,"American Tourister Backpack 8 Backpacks American Tourister Green Polyester Green backpacks made of polyester, suitable for everyday use."
49,American Tourister Backpack 9,Backpacks,American Tourister,3343,Blue,Polyester,"Blue backpacks made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1581605405669-fcdf81165afa?auto=format&fit=crop&w=800&q=80,"American Tourister Backpack 9 Backpacks American Tourister Blue Polyester Blue backpacks made of polyester, suitable for everyday use."
50,American Tourister Backpack 10,Backpacks,American Tourister,1093,Green,Cotton,"Green backpacks made of cotton, suitable for everyday use.",https://images.unsplash.com/photo-1622560480605-d83c853bc5c3?auto=format&fit=crop&w=800&q=80,"American Tourister Backpack 10 Backpacks American Tourister Green Cotton Green backpacks made of cotton, suitable for everyday use."
51,Wildcraft Backpack 11,Backpacks,Wildcraft,2268,Grey,Cotton,"Grey backpacks made of cotton, suitable for everyday use.",https://images.unsplash.com/photo-1581605405669-fcdf81165afa?auto=format&fit=crop&w=800&q=80,"Wildcraft Backpack 11 Backpacks Wildcraft Grey Cotton Grey backpacks made of cotton, suitable for everyday use."
52,American Tourister Backpack 12,Backpacks,American Tourister,5437,Grey,Mesh,"Grey backpacks made of mesh, suitable for everyday use.",https://images.unsplash.com/photo-1581605405669-fcdf81165afa?auto=format&fit=crop&w=800&q=80,"American Tourister Backpack 12 Backpacks American Tourister Grey Mesh Grey backpacks made of mesh, suitable for everyday use."
53,Wildcraft Backpack 13,Backpacks,Wildcraft,9433,Blue,Metal,"Blue backpacks made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1581605405669-fcdf81165afa?auto=format&fit=crop&w=800&q=80,"Wildcraft Backpack 13 Backpacks Wildcraft Blue Metal Blue backpacks made of metal, suitable for everyday use."
54,Skybags Backpack 14,Backpacks,Skybags,4334,Red,Mesh,"Red backpacks made of mesh, suitable for everyday use.",https://images.unsplash.com/photo-1622560480605-d83c853bc5c3?auto=format&fit=crop&w=800&q=80,"Skybags Backpack 14 Backpacks Skybags Red Mesh Red backpacks made of mesh, suitable for everyday use."
55,Wildcraft Backpack 15,Backpacks,Wildcraft,3350,Red,Mesh,"Red backpacks made of mesh, suitable for everyday use.",https://images.unsplash.com/photo-1622560480605-d83c853bc5c3?auto=format&fit=crop&w=800&q=80,"Wildcraft Backpack 15 Backpacks Wildcraft Red Mesh Red backpacks made of mesh, suitable for everyday use."
56,Skybags Backpack 16,Backpacks,Skybags,2393,Black,Leather,"Black backpacks made of leather, suitable for everyday use.",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&w=800&q=80,"Skybags Backpack 16 Backpacks Skybags Black Leather Black backpacks made of leather, suitable for everyday use."
57,Wildcraft Backpack 17,Backpacks,Wildcraft,3329,Grey,Plastic,"Grey backpacks made of plastic, suitable for everyday use.",https://images.unsplash.com/photo-1581605405669-fcdf81165afa?auto=format&fit=crop&w=800&q=80,"Wildcraft Backpack 17 Backpacks Wildcraft Grey Plastic Grey backpacks made of plastic, suitable for everyday use."
58,Puma Backpack 18,Backpacks,Puma,8610,Grey,Cotton,"Grey backpacks made of cotton, suitable for everyday use.",https://images.unsplash.com/photo-1581605405669-fcdf81165afa?auto=format&fit=crop&w=800&q=80,"Puma Backpack 18 Backpacks Puma Grey Cotton Grey backpacks made of cotton, suitable for everyday use."
59,American Tourister Backpack 19,Backpacks,American Tourister,2661,Green,Polyester,"Green backpacks made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1622560480605-d83c853bc5c3?auto=format&fit=crop&w=800&q=80,"American Tourister Backpack 19 Backpacks American Tourister Green Polyester Green backpacks made of polyester, suitable for everyday use."
60,Wildcraft Backpack 20,Backpacks,Wildcraft,1303,Black,Polyester,"Black backpacks made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&w=800&q=80,"Wildcraft Backpack 20 Backpacks Wildcraft Black Polyester Black backpacks made of polyester, suitable for everyday use."
61,Casio Watch 1,Watches,Casio,1276,White,Cotton,"White watches made of cotton, suitable for everyday use.",https://images.unsplash.com/photo-1524805444758-089113d48a6d?auto=format&fit=crop&w=800&q=80,"Casio Watch 1 Watches Casio White Cotton White watches made of cotton, suitable for everyday use."
62,Titan Watch 2,Watches,Titan,2656,Green,Mesh,"Green watches made of mesh, suitable for everyday use.",https://images.unsplash.com/photo-1523275335684-37898b6baf30?auto=format&fit=crop&w=800&q=80,"Titan Watch 2 Watches Titan Green Mesh Green watches made of mesh, suitable for everyday use."
63,Timex Watch 3,Watches,Timex,5994,Blue,Cotton,"Blue watches made of cotton, suitable for everyday use.",https://images.unsplash.com/photo-1524592094714-0f0654e20314?auto=format&fit=crop&w=800&q=80,"Timex Watch 3 Watches Timex Blue Cotton Blue watches made of cotton, suitable for everyday use."
64,Timex Watch 4,Watches,Timex,5209,White,Mesh,"White watches made of mesh, suitable for everyday use.",https://images.unsplash.com/photo-1524805444758-089113d48a6d?auto=format&fit=crop&w=800&q=80,"Timex Watch 4 Watches Timex White Mesh White watches made of mesh, suitable for everyday use."
65,Titan Watch 5,Watches,Titan,7821,Green,Cotton,"Green watches made of cotton, suitable for everyday use.",https://images.unsplash.com/photo-1523275335684-37898b6baf30?auto=format&fit=crop&w=800&q=80,"Titan Watch 5 Watches Titan Green Cotton Green watches made of cotton, suitable for everyday use."
66,Timex Watch 6,Watches,Timex,8253,Black,Leather,"Black watches made of leather, suitable for everyday use.",https://images.unsplash.com/photo-1508057198894-247b23fe5ade?auto=format&fit=crop&w=800&q=80,"Timex Watch 6 Watches Timex Black Leather Black watches made of leather, suitable for everyday use."
67,Casio Watch 7,Watches,Casio,1235,White,Plastic,"White watches made of plastic, suitable for everyday use.",https://images.unsplash.com/photo-1524805444758-089113d48a6d?auto=format&fit=crop&w=800&q=80,"Casio Watch 7 Watches Casio White Plastic White watches made of plastic, suitable for everyday use."
68,Fastrack Watch 8,Watches,Fastrack,1882,Red,Metal,"Red watches made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1539874754764-5a96559165b0?auto=format&fit=crop&w=800&q=80,"Fastrack Watch 8 Watches Fastrack Red Metal Red watches made of metal, suitable for everyday use."
69,Timex Watch 9,Watches,Timex,7539,Grey,Metal,"Grey watches made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80,"Timex Watch 9 Watches Timex Grey Metal Grey watches made of metal, suitable for everyday use."
70,Fastrack Watch 10,Watches,Fastrack,6217,Grey,Plastic,"Grey watches made of plastic, suitable for everyday use.",https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80,"Fastrack Watch 10 Watches Fastrack Grey Plastic Grey watches made of plastic, suitable for everyday use."
71,Titan Watch 11,Watches,Titan,6947,Black,Metal,"Black watches made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1508057198894-247b23fe5ade?auto=format&fit=crop&w=800&q=80,"Titan Watch 11 Watches Titan Black Metal Black watches made of metal, suitable for everyday use."
72,Casio Watch 12,Watches,Casio,9943,Black,Leather,"Black watches made of leather, suitable for everyday use.",https://images.unsplash.com/photo-1508057198894-247b23fe5ade?auto=format&fit=crop&w=800&q=80,"Casio Watch 12 Watches Casio Black Leather Black watches made of leather, suitable for everyday use."
73,Titan Watch 13,Watches,Titan,6697,Grey,Leather,"Grey watches made of leather, suitable for everyday use.",https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80,"Titan Watch 13 Watches Titan Grey Leather Grey watches made of leather, suitable for everyday use."
74,Titan Watch 14,Watches,Titan,2882,Black,Plastic,"Black watches made of plastic, suitable for everyday use.",https://images.unsplash.com/photo-1508057198894-247b23fe5ade?auto=format&fit=crop&w=800&q=80,"Titan Watch 14 Watches Titan Black Plastic Black watches made of plastic, suitable for everyday use."
75,Fastrack Watch 15,Watches,Fastrack,2528,White,Polyester,"White watches made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1524805444758-089113d48a6d?auto=format&fit=crop&w=800&q=80,"Fastrack Watch 15 Watches Fastrack White Polyester White watches made of polyester, suitable for everyday use."
76,Timex Watch 16,Watches,Timex,5861,Green,Metal,"Green watches made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1523275335684-37898b6baf30?auto=format&fit=crop&w=800&q=80,"Timex Watch 16 Watches Timex Green Metal Green watches made of metal, suitable for everyday use."
77,Titan Watch 17,Watches,Titan,6350,White,Plastic,"White watches made of plastic, suitable for everyday use.",https://images.unsplash.com/photo-1524805444758-089113d48a6d?auto=format&fit=crop&w=800&q=80,"Titan Watch 17 Watches Titan White Plastic White watches made of plastic, suitable for everyday use."
78,Timex Watch 18,Watches,Timex,8955,Red,Mesh,"Red watches made of mesh, suitable for everyday use.",https://images.unsplash.com/photo-1539874754764-5a96559165b0?auto=format&fit=crop&w=800&q=80,"Timex Watch 18 Watches Timex Red Mesh Red watches made of mesh, suitable for everyday use."
79,Fastrack Watch 19,Watches,Fastrack,1194,White,Cotton,"White watches made of cotton, suitable for everyday use.",https://images.unsplash.com/photo-1524805444758-089113d48a6d?auto=format&fit=crop&w=800&q=80,"Fastrack Watch 19 Watches Fastrack White Cotton White watches made of cotton, suitable for everyday use."
80,Casio Watch 20,Watches,Casio,5148,Grey,Leather,"Grey watches made of leather, suitable for everyday use.",https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=800&q=80,"Casio Watch 20 Watches Casio Grey Leather Grey watches made of leather, suitable for everyday use."
81,boAt Headphone 1,Headphones,boAt,7855,Red,Leather,"Red headphones made of leather, suitable for everyday use.",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80,"boAt Headphone 1 Headphones boAt Red Leather Red headphones made of leather, suitable for everyday use."
82,JBL Headphone 2,Headphones,JBL,6702,White,Plastic,"White headphones made of plastic, suitable for everyday use.",https://images.unsplash.com/photo-1484704849700-f032a568e944?auto=format&fit=crop&w=800&q=80,"JBL Headphone 2 Headphones JBL White Plastic White headphones made of plastic, suitable for everyday use."
83,boAt Headphone 3,Headphones,boAt,1154,Red,Metal,"Red headphones made of metal, suitable for everyday use.",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80,"boAt Headphone 3 Headphones boAt Red Metal Red headphones made of metal, suitable for everyday use."
84,Noise Headphone 4,Headphones,Noise,6298,Blue,Polyester,"Blue headphones made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1583394838336-acd977736f90?auto=format&fit=crop&w=800&q=80,"Noise Headphone 4 Headphones Noise Blue Polyester Blue headphones made of polyester, suitable for everyday use."
85,Noise Headphone 5,Headphones,Noise,6953,Blue,Polyester,"Blue headphones made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1583394838336-acd977736f90?auto=format&fit=crop&w=800&q=80,"Noise Headphone 5 Headphones Noise Blue Polyester Blue headphones made of polyester, suitable for everyday use."
86,Noise Headphone 6,Headphones,Noise,1130,Red,Polyester,"Red headphones made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80,"Noise Headphone 6 Headphones Noise Red Polyester Red headphones made of polyester, suitable for everyday use."
87,Noise Headphone 7,Headphones,Noise,3854,Blue,Polyester,"Blue headphones made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1583394838336-acd977736f90?auto=format&fit=crop&w=800&q=80,"Noise Headphone 7 Headphones Noise Blue Polyester Blue headphones made of polyester, suitable for everyday use."
88,boAt Headphone 8,Headphones,boAt,1931,Red,Cotton,"Red headphones made of cotton, suitable for everyday use.",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80,"boAt Headphone 8 Headphones boAt Red Cotton Red headphones made of cotton, suitable for everyday use."
89,Sony Headphone 9,Headphones,Sony,6636,Black,Mesh,"Black headphones made of mesh, suitable for everyday use.",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80,"Sony Headphone 9 Headphones Sony Black Mesh Black headphones made of mesh, suitable for everyday use."
90,JBL Headphone 10,Headphones,JBL,9287,Red,Plastic,"Red headphones made of plastic, suitable for everyday use.",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80,"JBL Headphone 10 Headphones JBL Red Plastic Red headphones made of plastic, suitable for everyday use."
91,Sony Headphone 11,Headphones,Sony,8577,Red,Polyester,"Red headphones made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80,"Sony Headphone 11 Headphones Sony Red Polyester Red headphones made of polyester, suitable for everyday use."
92,Sony Headphone 12,Headphones,Sony,4762,Black,Cotton,"Black headphones made of cotton, suitable for everyday use.",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80,"Sony Headphone 12 Headphones Sony Black Cotton Black headphones made of cotton, suitable for everyday use."
